description,category,priority,created_hour,created_dow,resolution_time_hours
Necesito cancelar mi servicio lo antes posible,CNCL,medium,11,3,2.21
Mi factura tiene un cobro que no reconozco este mes,BILL,low,19,2,5.47
Tengo una consulta general sobre mi cuenta,OTHR,low,1,4,8.95
Tengo una consulta general sobre mi cuenta,OTHR,low,20,5,7.56
Tengo una consulta general sobre mi cuenta,OTHR,medium,23,3,5.48
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,3,4,5.98
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,15,2,1.89
Necesito cancelar mi servicio lo antes posible,CNCL,medium,3,5,1.68
Necesito cancelar mi servicio lo antes posible,CNCL,low,14,6,2.53
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,high,13,4,2.32
Tengo una consulta general sobre mi cuenta,OTHR,medium,16,2,4.85
El internet está muy lento y no logro conectarme bien,TECH,high,14,1,3.35
Necesito cancelar mi servicio lo antes posible,CNCL,low,9,6,4.22
El internet está muy lento y no logro conectarme bien,TECH,medium,9,4,5.26
Mi factura tiene un cobro que no reconozco este mes,BILL,low,21,5,6.25
El internet está muy lento y no logro conectarme bien,TECH,low,6,6,6.82
Tengo una consulta general sobre mi cuenta,OTHR,high,10,5,3.08
Necesito cancelar mi servicio lo antes posible,CNCL,low,22,4,3.92
Mi factura tiene un cobro que no reconozco este mes,BILL,low,15,5,6.52
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,11,0,2.79
El internet está muy lento y no logro conectarme bien,TECH,high,17,6,3.79
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,10,4,4.55
El internet está muy lento y no logro conectarme bien,TECH,high,17,4,2.58
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,high,2,3,2.69
Mi factura tiene un cobro que no reconozco este mes,BILL,low,4,2,4.4
Mi factura tiene un cobro que no reconozco este mes,BILL,low,13,3,6.22
Necesito cancelar mi servicio lo antes posible,CNCL,low,21,1,3.49
Mi factura tiene un cobro que no reconozco este mes,BILL,low,14,2,5.29
El internet está muy lento y no logro conectarme bien,TECH,medium,20,3,8.81
El internet está muy lento y no logro conectarme bien,TECH,high,13,4,2.63
Mi factura tiene un cobro que no reconozco este mes,BILL,low,6,6,7.33
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,1,3,3.42
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,19,5,3.6
Necesito cancelar mi servicio lo antes posible,CNCL,medium,17,5,2.37
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,8,6,9.02
El internet está muy lento y no logro conectarme bien,TECH,low,11,3,9.5
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,1,3,7.51
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,6,3,3.76
Tengo una consulta general sobre mi cuenta,OTHR,low,12,2,8.92
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,18,0,8.15
Necesito cancelar mi servicio lo antes posible,CNCL,low,16,2,3.36
Tengo una consulta general sobre mi cuenta,OTHR,high,10,1,2.64
El internet está muy lento y no logro conectarme bien,TECH,medium,20,4,5.91
Mi factura tiene un cobro que no reconozco este mes,BILL,high,1,6,2.0
Tengo una consulta general sobre mi cuenta,OTHR,medium,18,6,3.74
Mi factura tiene un cobro que no reconozco este mes,BILL,low,16,0,6.92
Tengo una consulta general sobre mi cuenta,OTHR,medium,3,3,7.86
Necesito cancelar mi servicio lo antes posible,CNCL,low,3,0,5.25
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,23,6,5.96
Tengo una consulta general sobre mi cuenta,OTHR,low,9,6,10.14
Mi factura tiene un cobro que no reconozco este mes,BILL,low,12,5,4.45
El internet está muy lento y no logro conectarme bien,TECH,high,16,5,4.1
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,5,0,9.99
Tengo una consulta general sobre mi cuenta,OTHR,high,16,1,3.12
El internet está muy lento y no logro conectarme bien,TECH,medium,15,6,8.49
El internet está muy lento y no logro conectarme bien,TECH,low,4,0,14.94
Tengo una consulta general sobre mi cuenta,OTHR,low,1,2,11.05
Mi factura tiene un cobro que no reconozco este mes,BILL,low,7,3,8.05
El internet está muy lento y no logro conectarme bien,TECH,medium,19,4,6.94
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,22,0,5.03
El internet está muy lento y no logro conectarme bien,TECH,low,9,4,12.24
Necesito cancelar mi servicio lo antes posible,CNCL,low,19,5,2.93
El internet está muy lento y no logro conectarme bien,TECH,high,8,6,1.49
Mi factura tiene un cobro que no reconozco este mes,BILL,low,13,0,5.58
Necesito cancelar mi servicio lo antes posible,CNCL,high,16,5,0.56
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,20,5,4.99
El internet está muy lento y no logro conectarme bien,TECH,low,21,0,19.06
El internet está muy lento y no logro conectarme bien,TECH,medium,14,4,6.67
Tengo una consulta general sobre mi cuenta,OTHR,low,20,2,7.56
Tengo una consulta general sobre mi cuenta,OTHR,medium,9,4,6.17
Necesito cancelar mi servicio lo antes posible,CNCL,medium,14,5,1.85
Mi factura tiene un cobro que no reconozco este mes,BILL,low,23,0,8.01
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,18,3,6.43
Tengo una consulta general sobre mi cuenta,OTHR,low,16,1,12.07
El internet está muy lento y no logro conectarme bien,TECH,low,17,3,12.29
Tengo una consulta general sobre mi cuenta,OTHR,low,5,4,10.21
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,23,4,5.44
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,22,6,9.08
El internet está muy lento y no logro conectarme bien,TECH,medium,0,2,9.96
Necesito cancelar mi servicio lo antes posible,CNCL,low,2,5,5.16
Mi factura tiene un cobro que no reconozco este mes,BILL,low,0,2,8.22
El internet está muy lento y no logro conectarme bien,TECH,medium,7,3,9.61
Necesito cancelar mi servicio lo antes posible,CNCL,medium,11,3,2.29
Mi factura tiene un cobro que no reconozco este mes,BILL,low,15,3,6.08
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,10,5,9.19
El internet está muy lento y no logro conectarme bien,TECH,medium,18,0,6.6
Mi factura tiene un cobro que no reconozco este mes,BILL,high,19,3,1.91
Necesito cancelar mi servicio lo antes posible,CNCL,low,3,2,5.06
Necesito cancelar mi servicio lo antes posible,CNCL,low,7,5,4.67
Tengo una consulta general sobre mi cuenta,OTHR,medium,8,6,4.05
Necesito cancelar mi servicio lo antes posible,CNCL,low,19,5,3.59
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,11,0,2.92
Tengo una consulta general sobre mi cuenta,OTHR,high,18,2,2.27
Necesito cancelar mi servicio lo antes posible,CNCL,low,0,5,6.74
Tengo una consulta general sobre mi cuenta,OTHR,low,5,4,7.69
El internet está muy lento y no logro conectarme bien,TECH,low,11,5,10.99
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,0,2,3.31
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,high,19,1,2.06
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,1,5,7.16
El internet está muy lento y no logro conectarme bien,TECH,low,20,0,12.37
Tengo una consulta general sobre mi cuenta,OTHR,low,6,0,13.92
Necesito cancelar mi servicio lo antes posible,CNCL,medium,19,3,1.93
Mi factura tiene un cobro que no reconozco este mes,BILL,high,17,2,0.79
El internet está muy lento y no logro conectarme bien,TECH,low,0,0,10.57
Tengo una consulta general sobre mi cuenta,OTHR,low,15,5,6.74
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,10,0,1.71
El internet está muy lento y no logro conectarme bien,TECH,low,21,0,14.84
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,high,4,5,2.69
Tengo una consulta general sobre mi cuenta,OTHR,low,1,6,14.72
Tengo una consulta general sobre mi cuenta,OTHR,low,12,6,9.74
Tengo una consulta general sobre mi cuenta,OTHR,medium,14,4,4.69
Tengo una consulta general sobre mi cuenta,OTHR,low,10,6,7.38
Necesito cancelar mi servicio lo antes posible,CNCL,low,10,6,3.69
Mi factura tiene un cobro que no reconozco este mes,BILL,low,18,0,4.96
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,19,5,4.52
El internet está muy lento y no logro conectarme bien,TECH,low,8,6,14.72
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,7,0,10.72
Mi factura tiene un cobro que no reconozco este mes,BILL,low,21,2,8.24
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,23,4,6.22
El internet está muy lento y no logro conectarme bien,TECH,low,13,6,11.88
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,20,2,4.49
Tengo una consulta general sobre mi cuenta,OTHR,high,0,3,3.41
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,14,1,5.28
Tengo una consulta general sobre mi cuenta,OTHR,low,1,2,9.1
El internet está muy lento y no logro conectarme bien,TECH,medium,3,2,7.77
Necesito cancelar mi servicio lo antes posible,CNCL,medium,6,1,3.36
Necesito cancelar mi servicio lo antes posible,CNCL,low,0,2,4.35
El internet está muy lento y no logro conectarme bien,TECH,medium,18,6,3.46
Tengo una consulta general sobre mi cuenta,OTHR,medium,10,2,3.91
El internet está muy lento y no logro conectarme bien,TECH,medium,21,0,11.92
Mi factura tiene un cobro que no reconozco este mes,BILL,low,4,0,5.67
Tengo una consulta general sobre mi cuenta,OTHR,medium,12,3,5.56
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,4,6,5.64
Mi factura tiene un cobro que no reconozco este mes,BILL,low,7,6,5.6
Mi factura tiene un cobro que no reconozco este mes,BILL,low,4,5,5.76
Necesito cancelar mi servicio lo antes posible,CNCL,medium,1,3,3.02
Tengo una consulta general sobre mi cuenta,OTHR,medium,18,2,4.6
El internet está muy lento y no logro conectarme bien,TECH,medium,7,4,7.36
Necesito cancelar mi servicio lo antes posible,CNCL,medium,12,0,2.29
Tengo una consulta general sobre mi cuenta,OTHR,low,8,3,9.3
El internet está muy lento y no logro conectarme bien,TECH,low,15,6,13.5
Tengo una consulta general sobre mi cuenta,OTHR,medium,12,6,5.08
Mi factura tiene un cobro que no reconozco este mes,BILL,low,12,1,5.99
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,22,0,9.59
Necesito cancelar mi servicio lo antes posible,CNCL,high,21,2,1.53
Necesito cancelar mi servicio lo antes posible,CNCL,low,13,1,4.29
Tengo una consulta general sobre mi cuenta,OTHR,low,11,0,8.25
El internet está muy lento y no logro conectarme bien,TECH,medium,3,3,9.54
Necesito cancelar mi servicio lo antes posible,CNCL,low,6,2,4.09
Necesito cancelar mi servicio lo antes posible,CNCL,low,0,4,2.81
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,13,1,4.28
Necesito cancelar mi servicio lo antes posible,CNCL,medium,22,6,3.07
Mi factura tiene un cobro que no reconozco este mes,BILL,low,0,3,6.95
Mi factura tiene un cobro que no reconozco este mes,BILL,low,9,2,4.84
El internet está muy lento y no logro conectarme bien,TECH,low,22,3,13.33
Tengo una consulta general sobre mi cuenta,OTHR,low,10,1,8.79
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,21,4,6.43
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,9,1,6.38
Necesito cancelar mi servicio lo antes posible,CNCL,medium,10,1,1.73
Necesito cancelar mi servicio lo antes posible,CNCL,low,17,2,3.34
Mi factura tiene un cobro que no reconozco este mes,BILL,low,12,0,6.43
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,13,1,4.54
El internet está muy lento y no logro conectarme bien,TECH,medium,13,0,5.54
El internet está muy lento y no logro conectarme bien,TECH,low,13,5,9.36
El internet está muy lento y no logro conectarme bien,TECH,low,17,2,9.0
Tengo una consulta general sobre mi cuenta,OTHR,medium,4,4,4.61
Mi factura tiene un cobro que no reconozco este mes,BILL,high,9,4,1.15
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,5,2,8.39
Necesito cancelar mi servicio lo antes posible,CNCL,medium,5,3,2.17
Tengo una consulta general sobre mi cuenta,OTHR,low,13,4,9.23
El internet está muy lento y no logro conectarme bien,TECH,medium,0,4,5.79
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,21,3,9.65
Mi factura tiene un cobro que no reconozco este mes,BILL,low,13,5,7.49
Necesito cancelar mi servicio lo antes posible,CNCL,medium,8,4,2.06
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,3,5,3.35
El internet está muy lento y no logro conectarme bien,TECH,low,17,2,8.97
Mi factura tiene un cobro que no reconozco este mes,BILL,low,10,2,6.0
Necesito cancelar mi servicio lo antes posible,CNCL,high,9,6,1.1
Necesito cancelar mi servicio lo antes posible,CNCL,medium,6,6,2.59
Necesito cancelar mi servicio lo antes posible,CNCL,medium,14,6,1.93
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,23,5,6.53
Tengo una consulta general sobre mi cuenta,OTHR,low,7,3,10.07
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,7,0,8.43
El internet está muy lento y no logro conectarme bien,TECH,high,10,3,2.71
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,17,2,1.67
Tengo una consulta general sobre mi cuenta,OTHR,high,17,4,2.41
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,16,3,2.24
El internet está muy lento y no logro conectarme bien,TECH,medium,12,6,7.6
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,1,1,8.88
El internet está muy lento y no logro conectarme bien,TECH,low,13,0,13.37
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,22,0,9.28
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,7,4,4.35
Tengo una consulta general sobre mi cuenta,OTHR,low,0,6,12.28
Necesito cancelar mi servicio lo antes posible,CNCL,medium,22,4,2.69
Mi factura tiene un cobro que no reconozco este mes,BILL,low,13,6,4.65
Tengo una consulta general sobre mi cuenta,OTHR,medium,1,5,7.94
Tengo una consulta general sobre mi cuenta,OTHR,high,12,3,3.16
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,1,4,5.89
Mi factura tiene un cobro que no reconozco este mes,BILL,low,16,2,4.92
Mi factura tiene un cobro que no reconozco este mes,BILL,low,9,4,6.76
Tengo una consulta general sobre mi cuenta,OTHR,low,12,0,10.82
El internet está muy lento y no logro conectarme bien,TECH,low,16,5,10.63
Tengo una consulta general sobre mi cuenta,OTHR,medium,3,4,4.99
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,20,4,6.91
Tengo una consulta general sobre mi cuenta,OTHR,medium,12,3,2.93
Necesito cancelar mi servicio lo antes posible,CNCL,low,7,0,4.03
Necesito cancelar mi servicio lo antes posible,CNCL,low,14,5,3.48
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,high,15,3,2.04
Tengo una consulta general sobre mi cuenta,OTHR,high,7,2,4.2
Necesito cancelar mi servicio lo antes posible,CNCL,low,7,0,4.7
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,1,1,6.34
Tengo una consulta general sobre mi cuenta,OTHR,medium,13,2,4.77
Mi factura tiene un cobro que no reconozco este mes,BILL,low,0,2,7.21
El internet está muy lento y no logro conectarme bien,TECH,medium,19,3,5.69
Necesito cancelar mi servicio lo antes posible,CNCL,low,5,0,4.82
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,7,3,9.41
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,high,8,1,2.36
El internet está muy lento y no logro conectarme bien,TECH,medium,22,2,7.98
Mi factura tiene un cobro que no reconozco este mes,BILL,low,16,6,5.83
Necesito cancelar mi servicio lo antes posible,CNCL,medium,11,0,1.54
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,8,2,7.7
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,high,21,3,3.29
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,10,1,4.55
Tengo una consulta general sobre mi cuenta,OTHR,medium,14,4,6.57
Necesito cancelar mi servicio lo antes posible,CNCL,low,12,6,4.26
Tengo una consulta general sobre mi cuenta,OTHR,low,19,3,9.63
El internet está muy lento y no logro conectarme bien,TECH,medium,1,1,8.87
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,17,3,7.81
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,23,4,7.47
El internet está muy lento y no logro conectarme bien,TECH,low,4,5,19.06
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,4,4,8.66
El internet está muy lento y no logro conectarme bien,TECH,low,8,4,11.97
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,3,2,6.01
El internet está muy lento y no logro conectarme bien,TECH,high,11,1,2.84
Tengo una consulta general sobre mi cuenta,OTHR,low,18,3,8.21
El internet está muy lento y no logro conectarme bien,TECH,medium,0,1,9.63
Tengo una consulta general sobre mi cuenta,OTHR,low,9,3,12.57
Mi factura tiene un cobro que no reconozco este mes,BILL,high,0,2,2.04
Tengo una consulta general sobre mi cuenta,OTHR,medium,21,0,7.62
Tengo una consulta general sobre mi cuenta,OTHR,low,0,5,13.44
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,10,5,3.28
El internet está muy lento y no logro conectarme bien,TECH,high,15,4,2.74
Mi factura tiene un cobro que no reconozco este mes,BILL,low,14,5,4.5
El internet está muy lento y no logro conectarme bien,TECH,low,18,5,10.95
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,12,0,6.82
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,12,1,3.79
El internet está muy lento y no logro conectarme bien,TECH,high,7,3,3.65
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,high,9,3,1.76
Tengo una consulta general sobre mi cuenta,OTHR,low,14,1,11.27
Tengo una consulta general sobre mi cuenta,OTHR,low,20,6,8.09
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,21,6,2.97
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,7,6,4.31
El internet está muy lento y no logro conectarme bien,TECH,low,8,5,8.99
El internet está muy lento y no logro conectarme bien,TECH,medium,13,2,8.25
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,high,3,4,2.98
