customer_id,plan_type,monthly_charge,tenure_months,total_charges,contract_type,payment_method,num_tickets,avg_satisfaction,created_at,churn_status
91,standard,32.52,6,196.19,one_year,bank_transfer,2,3.67,2024-02-27,0
92,standard,31.11,71,2182.54,one_year,cash,1,3.87,2024-04-12,0
93,standard,32.41,11,352.59,two_year,credit_card,0,4.29,2023-01-24,0
94,standard,32.75,33,,month-to-month,bank_transfer,3,4.16,2023-08-04,0
95,standard,35.81,32,1106.32,two_year,bank_transfer,1,3.12,2023-02-24,0
96,standard,29.53,47,1377.88,month-to-month,bank_transfer,2,5.0,2023-01-26,0
97,standard,25.63,22,562.43,month-to-month,bank_transfer,1,4.25,2023-10-08,0
98,premium,55.81,61,3391.54,month-to-month,cash,0,4.91,2023-11-23,0
99,basic,12.99,36,452.21,month-to-month,bank_transfer,0,3.85,2023-07-05,0
100,standard,27.13,43,1141.04,month-to-month,credit_card,1,3.91,2024-05-09,0
101,basic,15.3,34,524.12,two_year,cash,2,3.38,2023-01-12,0
102,standard,32.6,64,2123.79,two_year,credit_card,1,3.06,2024-10-02,0
103,standard,27.49,46,1290.11,two_year,credit_card,1,4.48,2024-03-09,0
104,premium,58.82,2,130.71,month-to-month,bank_transfer,1,3.76,2023-07-27,0
105,basic,12.03,0,13.51,one_year,bank_transfer,0,3.37,2023-05-13,0
106,standard,29.27,4,114.43,month-to-month,bank_transfer,0,2.48,2023-12-05,1
107,standard,31.16,13,368.99,month-to-month,cash,0,5.0,2023-07-15,1
108,standard,28.84,26,742.45,month-to-month,bank_transfer,1,3.61,2023-09-19,0
109,standard,24.67,8,177.97,month-to-month,bank_transfer,3,2.27,2023-10-09,1
110,standard,32.78,14,462.01,one_year,credit_card,1,3.58,2024-01-04,0
111,standard,28.13,41,1177.99,one_year,cash,2,3.3,2023-04-13,0
112,standard,32.23,50,1650.97,month-to-month,cash,3,3.26,2024-09-23,1
113,standard,26.21,62,1626.31,month-to-month,bank_transfer,0,4.08,2023-07-02,0
114,basic,11.72,51,564.38,month-to-month,credit_card,1,3.3,2024-02-27,0
115,premium,57.59,3,174.02,month-to-month,credit_card,2,3.19,2023-01-09,1
116,standard,31.02,22,684.24,two_year,credit_card,2,4.86,2024-07-10,0
117,premium,53.68,14,765.1,month-to-month,credit_card,5,1.76,2023-09-01,1
118,basic,16.07,42,674.56,month-to-month,credit_card,4,3.45,2024-09-15,0
119,premium,52.14,28,1461.25,month-to-month,cash,2,4.43,2024-07-20,0
120,premium,55.33,35,1923.91,two_year,bank_transfer,1,4.13,2024-01-28,0
121,standard,30.39,12,358.44,two_year,credit_card,0,4.52,2024-06-10,0
122,standard,28.88,31,905.54,one_year,credit_card,2,5.0,2023-02-06,0
123,standard,27.49,70,1884.13,one_year,credit_card,2,5.0,2023-06-27,0
124,premium,55.21,58,3195.83,month-to-month,credit_card,3,2.34,2024-09-30,0
125,standard,29.84,27,819.44,month-to-month,credit_card,1,1.89,2024-09-20,0
126,basic,13.6,65,916.81,two_year,credit_card,1,3.83,2023-03-13,0
127,standard,26.9,41,1094.93,one_year,bank_transfer,1,2.15,2023-12-18,0
128,premium,55.04,44,2445.47,one_year,cash,2,1.57,2024-09-14,0
129,premium,53.61,61,3304.01,one_year,credit_card,0,3.82,2023-05-29,0
130,premium,51.9,56,2898.69,one_year,bank_transfer,1,4.07,2024-11-27,0
131,standard,30.13,5,139.49,one_year,cash,0,5.0,2023-04-15,0
132,basic,19.82,27,,two_year,credit_card,2,4.27,2024-10-20,0
133,basic,13.9,27,373.66,two_year,credit_card,1,5.0,2023-08-09,0
134,basic,19.49,43,859.89,one_year,cash,4,3.86,2024-01-09,0
135,basic,21.34,29,603.39,one_year,credit_card,1,2.36,2024-06-01,0
136,standard,27.14,61,1686.3,month-to-month,bank_transfer,0,4.32,2023-09-17,0
137,basic,15.03,61,900.81,one_year,bank_transfer,1,4.83,2023-10-26,0
138,standard,36.31,0,0.0,month-to-month,credit_card,2,3.89,2023-02-11,1
139,premium,54.64,26,1431.12,one_year,credit_card,0,4.95,2024-05-06,0
140,standard,30.11,61,1861.32,two_year,bank_transfer,0,3.38,2024-03-14,0
141,premium,49.99,2,103.55,one_year,credit_card,2,4.05,2023-02-16,0
142,standard,28.41,69,1968.99,month-to-month,credit_card,5,3.33,2023-03-26,0
143,basic,16.67,71,1222.66,month-to-month,bank_transfer,0,5.0,2024-11-16,0
144,standard,37.29,26,994.43,month-to-month,bank_transfer,0,4.34,2023-02-27,0
145,basic,14.41,8,115.9,one_year,credit_card,0,2.38,2023-07-28,0
146,standard,25.01,61,1516.99,month-to-month,cash,3,5.0,2023-09-05,0
147,standard,25.78,36,949.98,month-to-month,credit_card,4,2.77,2023-07-30,1
148,basic,14.89,50,761.09,month-to-month,cash,3,3.51,2023-02-08,1
149,basic,18.53,43,805.16,one_year,bank_transfer,0,3.97,2023-09-09,0
150,standard,31.91,23,727.39,one_year,bank_transfer,1,4.05,2024-10-04,0
151,premium,56.38,58,3268.51,month-to-month,bank_transfer,3,3.98,2024-02-17,0
152,standard,33.93,31,1048.88,month-to-month,cash,2,2.37,2024-03-21,1
153,standard,27.84,51,1413.63,month-to-month,credit_card,1,3.99,2023-02-21,0
154,basic,15.06,61,906.64,one_year,bank_transfer,1,4.6,2024-01-09,0
155,standard,28.44,57,1626.38,one_year,credit_card,3,4.57,2024-06-09,0
156,standard,29.19,51,1475.76,month-to-month,credit_card,1,2.2,2023-06-05,0
157,standard,26.98,11,300.33,one_year,credit_card,2,2.84,2024-06-25,1
158,premium,53.97,38,2008.86,month-to-month,cash,2,2.46,2023-03-31,1
159,standard,29.92,1,17.92,two_year,cash,2,3.84,2024-11-09,0
160,premium,53.89,2,129.75,month-to-month,credit_card,0,1.95,2023-12-17,1
161,premium,54.52,55,2980.59,month-to-month,credit_card,4,2.38,2023-03-10,1
162,basic,16.22,58,952.6,month-to-month,bank_transfer,1,2.83,2023-06-12,0
163,standard,33.72,1,17.37,one_year,bank_transfer,1,1.7,2023-08-30,1
164,premium,58.93,1,74.45,two_year,credit_card,0,3.47,2024-05-09,0
165,basic,17.28,53,,month-to-month,bank_transfer,2,1.39,2024-01-18,1
166,standard,26.22,0,0.0,one_year,bank_transfer,0,3.99,2023-02-21,0
167,premium,53.92,18,971.65,one_year,cash,1,3.1,2024-10-15,0
168,standard,29.18,1,2.31,month-to-month,credit_card,2,,2023-03-04,1
169,basic,13.03,52,697.0,month-to-month,bank_transfer,1,3.04,2024-05-23,0
170,standard,31.03,43,1360.36,two_year,bank_transfer,0,3.44,2023-10-19,0
171,basic,10.22,31,309.62,month-to-month,bank_transfer,2,4.09,2023-04-01,0
172,standard,35.08,69,2431.0,month-to-month,bank_transfer,0,4.82,2024-10-25,0
173,basic,18.59,31,591.87,two_year,bank_transfer,0,4.51,2024-02-28,0
174,standard,31.43,67,2103.98,month-to-month,credit_card,2,5.0,2024-10-30,0
175,standard,29.81,54,1587.58,month-to-month,cash,1,4.18,2023-12-31,0
176,standard,33.69,55,1884.83,month-to-month,bank_transfer,3,3.64,2023-05-30,0
177,standard,32.07,16,505.27,two_year,credit_card,3,,2023-09-28,0
178,standard,33.32,37,1220.66,month-to-month,bank_transfer,0,3.08,2024-08-03,0
179,standard,29.82,23,718.64,month-to-month,credit_card,0,4.04,2023-04-26,0
180,basic,20.37,68,1397.36,month-to-month,credit_card,2,2.5,2024-05-30,0
181,standard,33.5,69,2316.65,month-to-month,cash,4,3.73,2024-08-09,0
182,basic,16.53,10,145.88,month-to-month,bank_transfer,1,3.48,2023-08-29,0
183,premium,58.77,15,897.61,month-to-month,bank_transfer,3,2.77,2023-01-30,1
184,basic,13.74,58,854.85,one_year,credit_card,0,2.45,2023-05-23,0
185,standard,26.5,69,1846.11,month-to-month,bank_transfer,3,5.0,2023-11-22,0
186,standard,30.96,2,71.84,month-to-month,credit_card,2,2.1,2024-11-25,1
187,standard,29.83,19,581.19,month-to-month,credit_card,2,3.43,2023-01-16,1
188,basic,14.41,58,829.22,month-to-month,cash,4,4.72,2023-04-21,0
189,standard,33.65,35,1171.0,month-to-month,bank_transfer,1,4.03,2023-04-17,0
190,standard,30.5,18,541.99,one_year,bank_transfer,3,3.03,2024-01-14,0
191,standard,30.79,66,2020.64,month-to-month,credit_card,0,2.31,2023-06-11,0
192,standard,29.02,18,515.31,month-to-month,cash,1,3.63,2023-10-10,1
193,standard,32.64,19,613.02,month-to-month,bank_transfer,1,1.0,2023-09-26,1
194,standard,32.11,70,2242.81,two_year,bank_transfer,2,3.67,2024-04-28,0
195,standard,32.62,51,1658.17,one_year,bank_transfer,1,3.53,2024-10-28,0
196,standard,28.51,32,917.18,one_year,credit_card,0,4.57,2023-03-14,0
197,standard,33.91,39,1324.07,month-to-month,credit_card,2,2.36,2023-07-16,0
198,basic,20.52,38,783.11,two_year,bank_transfer,3,3.18,2023-08-31,0
199,basic,17.53,0,30.45,month-to-month,credit_card,1,3.94,2024-08-20,1
200,basic,12.57,10,127.23,month-to-month,credit_card,3,3.71,2023-09-16,1
201,basic,12.59,56,749.26,month-to-month,cash,1,2.16,2023-05-29,0
202,standard,28.87,49,1421.68,month-to-month,bank_transfer,1,2.85,2024-01-25,0
203,standard,28.31,22,613.87,two_year,bank_transfer,5,4.9,2024-02-20,0
204,basic,14.79,30,470.69,one_year,bank_transfer,2,3.76,2024-03-01,0
205,premium,56.9,41,2331.31,month-to-month,bank_transfer,0,1.84,2023-08-05,0
206,basic,15.87,6,47.35,one_year,credit_card,3,4.38,2023-03-27,0
207,standard,30.61,15,459.07,two_year,credit_card,0,1.9,2023-08-04,0
208,standard,29.28,59,1722.54,two_year,credit_card,1,3.19,2024-02-27,0
209,standard,29.78,1,61.91,one_year,credit_card,0,4.06,2023-11-16,0
210,basic,17.39,0,0.0,two_year,bank_transfer,3,4.71,2023-04-28,0
211,standard,23.96,47,1119.47,two_year,credit_card,1,1.16,2024-02-19,0
212,standard,29.97,11,355.02,one_year,bank_transfer,1,4.21,2024-08-21,0
213,premium,55.86,68,3806.37,month-to-month,credit_card,3,4.36,2023-02-09,0
214,standard,32.35,36,1161.17,month-to-month,credit_card,2,2.94,2023-06-10,0
215,premium,51.97,31,1595.94,two_year,bank_transfer,2,3.59,2024-06-20,0
216,basic,11.81,8,101.51,month-to-month,credit_card,2,1.0,2024-02-24,1
217,standard,31.75,18,570.91,two_year,credit_card,2,1.0,2024-10-25,0
218,standard,24.29,47,1126.27,month-to-month,credit_card,2,4.61,2023-04-05,0
219,standard,34.0,2,53.68,month-to-month,credit_card,1,2.96,2024-03-17,1
220,basic,15.68,19,281.63,month-to-month,bank_transfer,1,3.15,2024-07-11,1
221,standard,34.68,23,777.79,month-to-month,credit_card,0,3.73,2024-10-11,0
222,standard,26.74,53,1435.9,two_year,credit_card,0,3.13,2024-04-10,0
223,standard,28.69,32,934.07,two_year,bank_transfer,2,3.04,2023-10-15,0
224,standard,22.78,23,542.65,two_year,credit_card,0,3.89,2024-11-06,0
225,premium,52.61,71,3735.4,one_year,cash,1,2.0,2024-02-16,0
226,basic,14.45,35,500.9,month-to-month,bank_transfer,1,4.66,2024-02-04,0
227,premium,49.11,37,1812.58,month-to-month,bank_transfer,2,3.27,2024-06-11,0
228,premium,53.82,24,1312.1,one_year,bank_transfer,2,2.49,2023-01-18,0
229,premium,49.04,17,797.28,month-to-month,credit_card,2,2.36,2023-05-16,1
230,standard,29.23,65,1889.66,month-to-month,bank_transfer,0,3.54,2024-04-08,0
231,standard,33.44,53,1754.57,month-to-month,credit_card,1,3.19,2023-09-05,0
232,premium,54.9,34,1893.8,month-to-month,cash,5,1.95,2023-01-01,1
233,basic,19.97,60,1188.65,two_year,credit_card,2,2.9,2024-01-16,0
234,standard,32.36,40,1261.68,two_year,bank_transfer,1,2.69,2024-05-23,0
235,standard,34.04,32,1093.75,month-to-month,bank_transfer,1,4.76,2024-04-04,0
236,standard,27.71,67,1849.17,one_year,credit_card,3,3.63,2024-05-19,0
237,basic,12.63,32,393.02,one_year,credit_card,2,5.0,2024-04-20,0
238,standard,31.04,13,390.32,month-to-month,bank_transfer,1,2.79,2024-07-10,1
239,premium,50.27,20,991.41,two_year,cash,2,3.21,2023-02-01,1
240,basic,16.41,47,785.44,two_year,credit_card,2,3.89,2023-04-28,0
241,premium,54.03,19,1031.05,month-to-month,bank_transfer,0,4.1,2023-07-03,0
242,basic,18.99,7,128.97,month-to-month,cash,1,4.22,2023-07-10,1
243,standard,32.04,6,170.28,month-to-month,cash,2,2.61,2023-03-15,1
244,basic,18.29,66,1203.76,month-to-month,credit_card,1,2.64,2024-09-14,0
245,basic,12.74,16,209.05,month-to-month,bank_transfer,2,3.14,2023-04-13,1
246,premium,58.14,32,1866.45,two_year,credit_card,0,4.98,2024-08-08,0
247,standard,34.33,47,1616.73,month-to-month,cash,1,2.5,2024-02-24,0
248,standard,29.88,58,1714.59,month-to-month,bank_transfer,1,2.97,2024-04-17,0
249,basic,12.78,21,220.32,two_year,credit_card,3,4.23,2023-04-24,0
250,standard,27.83,29,843.06,one_year,bank_transfer,1,4.18,2024-01-14,0
251,standard,33.72,37,1221.45,month-to-month,credit_card,1,4.06,2023-11-09,0
252,standard,38.05,50,1863.2,month-to-month,cash,0,3.58,2023-11-26,0
253,standard,27.06,53,1436.79,month-to-month,cash,2,2.43,2023-12-05,0
254,premium,51.82,7,328.57,one_year,bank_transfer,0,2.81,2023-08-26,0
255,standard,32.76,26,835.66,month-to-month,credit_card,3,4.63,2023-06-22,1
256,standard,27.74,26,732.22,month-to-month,bank_transfer,0,4.27,2023-03-20,0
257,basic,18.06,20,396.65,two_year,credit_card,1,2.17,2024-04-08,0
258,standard,31.4,29,918.35,month-to-month,credit_card,2,4.37,2024-08-27,0
259,standard,29.93,27,799.33,two_year,cash,4,4.81,2024-05-15,0
260,standard,31.32,63,1972.13,two_year,credit_card,1,3.55,2024-07-15,0
261,basic,16.14,68,1061.35,month-to-month,credit_card,4,3.93,2023-10-12,0
262,premium,54.46,60,3258.58,two_year,cash,0,4.51,2023-08-11,0
263,basic,10.0,47,461.0,month-to-month,credit_card,1,2.8,2024-08-15,0
264,standard,30.54,18,552.79,two_year,credit_card,2,5.0,2023-09-23,0
265,standard,34.72,3,143.0,one_year,cash,0,4.72,2024-10-28,0
266,basic,10.17,34,307.04,one_year,credit_card,1,4.02,2024-01-08,0
267,standard,27.1,63,1699.15,month-to-month,bank_transfer,3,3.47,2023-08-21,0
268,standard,31.28,48,1464.77,two_year,cash,0,3.99,2023-08-24,0
269,premium,55.12,16,871.85,one_year,cash,1,1.94,2024-11-01,0
270,premium,56.23,43,2400.6,month-to-month,bank_transfer,1,,2023-11-10,0
271,premium,52.9,29,1504.21,two_year,credit_card,3,4.63,2024-01-15,0
272,basic,18.49,45,850.31,month-to-month,credit_card,1,4.96,2024-09-05,0
273,standard,30.14,5,155.81,month-to-month,cash,1,3.53,2024-07-16,1
274,standard,32.09,36,1171.16,month-to-month,cash,4,,2024-02-24,1
275,premium,55.96,23,1276.45,month-to-month,bank_transfer,1,2.83,2023-02-21,0
276,standard,30.53,45,1372.44,month-to-month,credit_card,3,4.31,2024-10-04,0
277,premium,56.88,52,2989.65,two_year,credit_card,0,2.99,2024-05-23,0
278,standard,30.56,59,1802.99,month-to-month,credit_card,1,3.31,2023-07-24,1
279,standard,26.43,62,1654.82,one_year,bank_transfer,1,4.05,2023-09-14,0
280,basic,18.26,31,553.71,month-to-month,bank_transfer,3,2.84,2023-07-04,0
281,standard,32.45,32,1052.72,two_year,cash,1,4.54,2023-05-25,0
282,standard,23.68,66,1551.9,two_year,bank_transfer,1,3.48,2024-11-20,0
283,standard,28.04,17,438.75,month-to-month,credit_card,2,,2023-01-14,1
284,standard,33.13,24,794.97,two_year,bank_transfer,2,2.83,2023-09-03,0
285,standard,24.52,53,1290.15,month-to-month,bank_transfer,1,4.81,2023-07-06,0
286,basic,17.83,57,983.81,two_year,bank_transfer,3,2.56,2023-12-03,0
287,standard,29.58,66,1956.11,month-to-month,bank_transfer,1,4.39,2023-09-16,0
288,standard,34.02,45,1513.03,two_year,cash,3,3.62,2023-02-09,0
289,standard,30.0,23,751.85,month-to-month,cash,2,3.33,2024-08-23,0
290,basic,12.83,31,368.44,one_year,credit_card,1,5.0,2024-09-28,0
291,basic,15.92,46,708.06,one_year,credit_card,2,2.22,2024-02-22,0
292,basic,14.91,22,345.41,month-to-month,bank_transfer,0,2.76,2023-12-17,0
293,standard,27.57,65,1789.39,month-to-month,credit_card,2,3.48,2023-01-09,0
294,basic,21.66,26,580.14,month-to-month,credit_card,4,5.0,2023-12-16,0
295,standard,27.09,1,34.7,month-to-month,credit_card,1,3.48,2023-03-25,1
296,premium,48.27,16,760.67,one_year,bank_transfer,1,,2024-06-16,0
297,basic,19.75,32,604.42,month-to-month,credit_card,2,3.16,2023-12-24,0
298,standard,28.25,8,247.42,month-to-month,bank_transfer,2,3.86,2024-01-13,0
299,standard,29.11,42,1196.85,month-to-month,cash,2,3.23,2023-06-21,1
300,premium,53.93,47,2545.89,two_year,credit_card,3,4.2,2023-01-25,0
301,standard,28.29,38,1093.4,month-to-month,credit_card,2,4.27,2024-01-28,0
302,standard,27.7,41,1133.16,month-to-month,credit_card,0,3.27,2023-04-13,0
303,premium,52.01,25,1294.17,month-to-month,cash,0,2.37,2023-08-24,1
304,standard,30.19,49,1459.64,month-to-month,credit_card,0,3.59,2024-02-14,0
305,premium,53.79,24,1300.21,two_year,credit_card,3,4.9,2024-07-02,0
306,basic,17.19,23,334.45,month-to-month,credit_card,2,,2023-11-28,1
307,premium,56.45,12,691.71,month-to-month,bank_transfer,2,3.83,2024-10-25,0
308,standard,27.22,59,1608.37,one_year,bank_transfer,1,2.29,2024-06-15,0
309,standard,30.33,6,177.52,one_year,bank_transfer,1,2.46,2024-10-10,0
310,basic,13.75,56,774.85,month-to-month,cash,2,4.8,2023-01-29,0
311,standard,27.03,35,918.58,one_year,credit_card,1,4.19,2024-06-26,0
312,basic,17.07,44,702.82,two_year,cash,3,3.85,2023-01-19,0
313,premium,54.64,19,1047.53,month-to-month,credit_card,3,1.18,2023-05-28,1
314,premium,53.78,64,3468.25,one_year,cash,2,2.95,2024-04-15,0
315,basic,12.43,7,,one_year,bank_transfer,1,4.11,2024-05-05,0
316,premium,51.92,15,757.75,month-to-month,cash,3,2.05,2023-10-10,1
317,standard,35.97,13,482.66,month-to-month,credit_card,4,3.15,2024-11-05,1
318,standard,31.0,14,441.18,month-to-month,credit_card,2,4.27,2023-04-23,0
319,standard,26.73,65,1796.71,two_year,credit_card,2,1.99,2024-03-30,0
320,basic,15.86,31,513.17,two_year,credit_card,0,1.82,2024-10-23,0
321,basic,18.19,62,1144.49,one_year,credit_card,1,2.01,2023-11-26,0
322,standard,30.5,50,1509.72,month-to-month,credit_card,1,3.83,2023-09-12,0
323,premium,59.12,24,1429.38,one_year,credit_card,0,2.94,2024-08-21,0
324,basic,10.37,57,621.0,one_year,bank_transfer,0,4.38,2024-02-03,0
325,premium,49.03,62,3036.57,month-to-month,cash,0,3.62,2024-09-01,0
326,standard,30.78,61,1875.24,month-to-month,bank_transfer,0,5.0,2024-05-22,0
327,standard,30.83,21,650.26,two_year,credit_card,2,2.26,2024-10-05,0
328,standard,19.98,57,1125.57,month-to-month,bank_transfer,2,3.83,2024-04-10,0
329,premium,53.13,57,3033.79,two_year,credit_card,0,2.7,2024-02-11,0
330,standard,26.97,48,1299.44,month-to-month,cash,6,4.1,2024-08-31,1
331,standard,25.82,51,1346.42,month-to-month,credit_card,2,3.62,2023-04-08,0
332,standard,26.97,41,1101.98,month-to-month,bank_transfer,0,2.51,2023-10-17,0
333,basic,16.79,69,1172.0,month-to-month,cash,3,3.34,2024-10-18,0
334,basic,11.95,14,164.11,two_year,cash,3,3.57,2023-06-05,0
335,standard,27.05,53,1446.45,month-to-month,bank_transfer,1,2.9,2023-06-11,0
336,standard,25.14,59,1478.26,two_year,cash,1,4.23,2024-09-15,0
337,standard,33.81,7,248.14,month-to-month,cash,1,2.47,2024-11-27,1
338,standard,31.3,52,1642.16,two_year,bank_transfer,1,5.0,2023-04-07,0
339,standard,22.52,59,1307.35,month-to-month,bank_transfer,0,4.45,2024-01-12,0
340,standard,27.05,4,130.25,two_year,bank_transfer,2,3.85,2024-07-20,0
